"Plot","Treat","Value"
"B1","CC","0.577096081226134"
"B1","CW","0.599984024932606"
"B1","LC","0.627212791441816"
"B1","LW","0.576422077988436"
"B2","CC","0.560508362168593"
"B2","CW","0.569847697295967"
"B2","LC","0.610330137797692"
"B2","LW","0.590754968910806"
"B3","CC","0.548916529495068"
"B3","CW","0.573772606180612"
"B3","LC","0.611695090216168"
"B3","LW","0.625977287949803"
"B4","CC","0.648620841561266"
"B4","CW","0.573517933320499"
"B4","LC","0.653810948280202"
"B4","LW","0.616728579471544"
"B5","CC","0.573765045534912"
"B5","CW","0.5622880509186"
"B5","LC","0.655891068733499"
"B5","LW","0.610936147410846"
