"Plot","Treat","Value"
"B1","CC","0.461660498234092"
"B1","CW","0.563709676265717"
"B1","LC","0.550133023987111"
"B1","LW","0.489364185626956"
"B2","CC","0.571892213530657"
"B2","CW","0.554985349828547"
"B2","LC","0.562890713760095"
"B2","LW","0.518901207484305"
"B3","CC","0.662258062362671"
"B3","CW","0.604288855962681"
"B3","LC","0.523253516551176"
"B3","LW","0.559454359906785"
"B4","CC","0.600050402805209"
"B4","CW","0.566045606444622"
"B4","LC","0.569444441133075"
"B4","LW","0.543996430767907"
"B5","CC","0.584331795147487"
"B5","CW","0.617823945263685"
"B5","LC","0.581561587073586"
"B5","LW","0.527397263539981"
