"Plot","Treat","Value"
"B1","CC","0.550868485982601"
"B1","CW","0.594086023171743"
"B1","LC","0.719024912877516"
"B1","LW","0.645161287906842"
"B2","CC","0.653107211432036"
"B2","CW","0.600974462305506"
"B2","LC","0.657258063554764"
"B2","LW","0.660740466280417"
"B3","CC","0.438760079443455"
"B3","CW","0.591205838180724"
"B3","LC","0.609181139904719"
"B3","LW","0.562344911388862"
"B4","CC","0.643870965242386"
"B4","CW","0.555913977225622"
"B4","LC","0.660260809228775"
"B4","LW","0.51781415361077"
"B5","CC","0.543081492969864"
"B5","CW","0.578773041388818"
"B5","LC","0.676651303257261"
"B5","LW","0.611111105224233"
