"Plot","Treat","Value"
"B1","CC","0.628908188984944"
"B1","CW","0.638172040383021"
"B1","LC","0.644502960905737"
"B1","LW","0.582916857491077"
"B2","CC","0.695340502262116"
"B2","CW","0.633919847734047"
"B2","LC","0.656618021310322"
"B2","LW","0.606750913502015"
"B3","CC","0.71543778691973"
"B3","CW","0.686699945302237"
"B3","LC","0.630846774578094"
"B3","LW","0.652796841682272"
"B4","CC","0.686995968222618"
"B4","CW","0.663306449140821"
"B4","LC","0.629468175205025"
"B4","LW","0.60896367245707"
"B5","CC","0.641474655696324"
"B5","CW","0.693260365298816"
"B5","LC","0.65468325026064"
"B5","LW","0.621836234973027"
