ID,Plot,Treat,Sensor,CBLUE,BLUE,GREEN,YELLOW,RED,REDEDGE,NIR,NDVI,CI1,CI2,Temperature Index
B5_CW,B5,CW,A. FieldSpec,0.061702808,0.0714547,0.093808618,0.1317684,0.149767586,0.184231895,0.211254263,0.181648459,0.350765558,0.054189587,NA
B5_LC,B5,LC,A. FieldSpec,0.065979923,0.076935633,0.107166559,0.16624125,0.192661897,0.239604842,0.277838439,0.193768601,0.412318237,0.06502087,NA
B5_LW,B5,LW,A. FieldSpec,0.066258077,0.0774118,0.107058618,0.1647867,0.191009759,0.232886579,0.265830316,0.176098987,0.396878078,0.056356364,NA
B1_CC,B1,CC,C. MicaSense,0.05715,0.064934,0.0829245,NA,0.125145,0.146055667,0.176634,0.170618234,NA,NA,NA
B1_LC,B1,LC,C. MicaSense,0.06181,0.070616,0.0934215,NA,0.1610455,0.185640667,0.21665,0.147220446,NA,NA,NA
B1_LW,B1,LW,C. MicaSense,0.066743,0.076095,0.101244,NA,0.171721,0.195452,0.227793,0.140350526,NA,NA,NA
B1_CW,B1,CW,C. MicaSense,0.056231,0.063638,0.0814035,NA,0.1266915,0.150967333,0.184997,0.187063366,NA,NA,NA
B2_CC,B2,CC,C. MicaSense,0.055355,0.062636,0.0785945,NA,0.113495,0.138456333,0.170188,0.199846307,NA,NA,NA
B2_LC,B2,LC,C. MicaSense,0.071586,0.081449,0.1082105,NA,0.1805725,0.206204667,0.243407,0.148201741,NA,NA,NA
B2_LW,B2,LW,C. MicaSense,0.073441,0.084148,0.112774,NA,0.196809,0.225732667,0.260712,0.139672277,NA,NA,NA
B2_CW,B2,CW,C. MicaSense,0.059933,0.067934,0.0879515,NA,0.138143,0.158973,0.190145,0.158403597,NA,NA,NA
B3_CC,B3,CC,C. MicaSense,0.058347,0.066103,0.0820595,NA,0.112173,0.138479,0.170894,0.207445587,NA,NA,NA
B3_LC,B3,LC,C. MicaSense,0.065895,0.075356,0.099105,NA,0.16632,0.196194,0.23237,0.165667561,NA,NA,NA
B3_LW,B3,LW,C. MicaSense,0.066319,0.075506,0.0986805,NA,0.1636965,0.188726667,0.223184,0.15376195,NA,NA,NA
B3_CW,B3,CW,C. MicaSense,0.061526,0.070135,0.091634,NA,0.146487,0.165898667,0.197942,0.149392182,NA,NA,NA
B4_CC,B4,CC,C. MicaSense,0.061239,0.069036,0.0872675,NA,0.1273225,0.149665667,0.187498,0.191142254,NA,NA,NA
B4_LC,B4,LC,C. MicaSense,0.067561,0.077256,0.1012845,NA,0.1637355,0.202345333,0.24688,0.202487485,NA,NA,NA
B4_LW,B4,LW,C. MicaSense,0.070436,0.080596,0.10737,NA,0.1799305,0.210729667,0.249528,0.162058732,NA,NA,NA
B4_CW,B4,CW,C. MicaSense,0.061293,0.070065,0.0896175,NA,0.136415,0.155849667,0.183969,0.148428136,NA,NA,NA
B5_CC,B5,CC,C. MicaSense,0.057106,0.064651,0.0815125,NA,0.1218535,0.146564667,0.179657,0.191713058,NA,NA,NA
