"ID","CBLUE","BLUE","GREEN","YELLOW","RED","REDEDGE","NIR","NDVI","BI","NDWI","CI1","CI2"
"B1_CC","0.0451543533425203","0.0550526362888179","0.0714943951599429","0.1015011277038","0.113088385580881","0.139150371804696","0.165381632951915","0.203373180291214","0.0721391689155605","0.212499054939499","0.349961137617837","0.0562385822531205"
"B1_CW","0.0489490317712736","0.0597650877619203","0.078300121388799","0.112352942643002","0.124639378893668","0.154057727988858","0.186619962156254","0.215610554397991","0.0808209958560394","0.173320108644224","0.357283042411319","0.0607436692958791"
"B1_LC","0.0633263188548976","0.0780360068690412","0.110537595072104","0.181119555744905","0.205698111713935","0.237243956580429","0.264623724841343","0.137056744238237","0.118919735180616","0.131331449083272","0.389264000084443","0.0408075904413696"
"B1_LW","0.0629153663499114","0.077573060280825","0.109280071432153","0.177265572139552","0.201081094688806","0.232510685142628","0.261978914334848","0.144254664822868","0.117258204990957","0.108859485512161","0.38632500081768","0.0423156697089453"
"B2_CC","0.0445043115796191","0.0527035391245289","0.0634537295629888","0.0787465562319004","0.0853629007789708","0.114092119167542","0.136923496930454","0.243846591486018","0.0588029203609562","0.228587216623697","0.319073203226411","0.0755598058998069"
"B2_CW","0.0517067434415553","0.0633201121581343","0.0819406465752458","0.115214428735734","0.128535000711186","0.156213550915122","0.184260915653954","0.193791119913633","0.0810488042245445","0.156568941387341","0.339572290773493","0.0542010012870486"
"B2_LC","0.0603598442192422","0.0739261836205989","0.101622134997299","0.1611236079116","0.183479648774521","0.214317635089599","0.243664887525336","0.154943069073752","0.108452520648575","0.0909721431661578","0.382715251554107","0.043574265743714"
"B2_LW","0.0671983623809133","0.0833189132134349","0.118089519225675","0.194161947887557","0.222618378395022","0.258810480664209","0.292248806719055","0.14869854492211","0.13003952037071","0.092066398199799","0.399536955673883","0.0436847075646242"
"B3_CC","0.0477888253610237","0.0579057571488928","0.0716942473042453","0.0924447117918346","0.101164953224421","0.128711898910822","0.155708180903312","0.227384996483885","0.0677107312957798","0.195550305164567","0.313408349055379","0.0616679146618538"
"B3_CW","0.0501804540341764","0.0611844588914361","0.0796511723337602","0.113287938302523","0.126766609017183","0.150477084530754","0.174998018021212","0.174396717916244","0.0779558593226868","0.156569648872182","0.333293431626512","0.0495332657181801"
"B3_LC","0.0592789534659891","0.0731270688729708","0.101450583616721","0.162897473977597","0.187221584539092","0.220571856824347","0.249576502034903","0.156553064209724","0.11061876677296","0.0948008492239523","0.395254623032409","0.0434263977156249"
"B3_LW","0.0586786662796911","0.0712061533202977","0.0972347936676416","0.151776129720427","0.17250653762128","0.206741255120229","0.236682648994698","0.170440365516706","0.104093004727718","0.113767684072964","0.388969288225945","0.0533676780773077"
"B4_CC","0.0513368621142487","0.0600294458997329","0.0745453291004418","0.0994195378334747","0.109271161583684","0.136293816473922","0.168294214143285","0.230796182233561","0.072894651525197","0.154019123141681","0.324637366028811","0.064366528998163"
"B4_CW","0.0468243793852658","0.0592284675924447","0.0790100160110285","0.114833959862606","0.130140000601818","0.157520717518862","0.186341416233984","0.19481362058888","0.081551809582762","0.164664866754695","0.3585122960963","0.0521525885864192"
"B4_LC","0.063047700939891","0.0783906615218052","0.106948070257101","0.16314419283064","0.185151888474178","0.227519054299525","0.263927342137535","0.189036757577538","0.114776912145405","0.0931331922709141","0.390582855021879","0.0602021503720444"
"B4_LW","0.061942604780407","0.0765996915096637","0.105776791392407","0.166401958119627","0.189825868846667","0.229516135435468","0.262727229956856","0.174538481560978","0.11504733205381","0.109755323758168","0.397257242224975","0.0528861142065388"
"B5_CC","0.0480648654830267","0.0582172409544042","0.073577995801971","0.0995964227972111","0.110206234783289","0.140323696742219","0.169441994240262","0.227449012475907","0.0730936092999278","0.208914316637544","0.342495031663527","0.0625942101148227"
"B5_CW","0.0645699223283785","0.0814316970661914","0.105449513183991","0.145583266732737","0.162969638734369","0.201240623103796","0.232496021957362","0.188928311771254","0.102452629704072","0.16094887459008","0.33786458537799","0.0524965434794068"
"B5_LC","0.0586421392931623","0.0730932047613085","0.102135439030885","0.161876366102874","0.186042012169961","0.226940000540809","0.262281571452539","0.184747914500465","0.113818626269889","0.148060849695685","0.409403059099454","0.0583523833604433"
"B5_LW","0.0774809876800861","0.097668917574851","0.13669134053803","0.215974312337145","0.247516601974845","0.297434891061475","0.339517997004723","0.170492463180837","0.14895752438591","0.102136068299445","0.398203572635681","0.0526478693093012"
