"Plot","Treat","Value"
"B1","CC","0.407459681481123"
"B1","CW","0.487557599374226"
"B1","LC","0.503795068637998"
"B1","LW","0.561033728447827"
"B2","CC","0.452593720039806"
"B2","CW","0.448742481611543"
"B2","LC","0.495307913151654"
"B2","LW","0.521213181640791"
"B3","CC","0.41327107946078"
"B3","CW","0.473061083479131"
"B3","LC","0.493774756789207"
"B3","LW","0.433221872623374"
"B4","CC","0.5565982401371"
"B4","CW","0.454334677383304"
"B4","LC","0.523128425737597"
"B4","LW","0.530582323089823"
"B5","CC","0.512096768333798"
"B5","CW","0.458116542908453"
"B5","LC","0.541008917575187"
"B5","LW","0.504382887936157"
