Plot,Lamp,Water,Treat,Band,Wavelength,Val
B4,C,W,CW,Band10,NIR,0.183969
B5,C,C,CC,Band10,NIR,0.179657
B5,L,C,LC,Band10,NIR,0.253922
B5,L,W,LW,Band10,NIR,0.255151
B5,C,W,CW,Band10,NIR,0.208427
B1,C,C,CC,Index1,NDVI,0.170618234
B1,L,C,LC,Index1,NDVI,0.147220446
B1,L,W,LW,Index1,NDVI,0.140350526
B1,C,W,CW,Index1,NDVI,0.187063366
B2,C,C,CC,Index1,NDVI,0.199846307
B2,L,C,LC,Index1,NDVI,0.148201741
B2,L,W,LW,Index1,NDVI,0.139672277
B2,C,W,CW,Index1,NDVI,0.158403597
B3,C,C,CC,Index1,NDVI,0.207445587
B3,L,C,LC,Index1,NDVI,0.165667561
B3,L,W,LW,Index1,NDVI,0.15376195
B3,C,W,CW,Index1,NDVI,0.149392182
B4,C,C,CC,Index1,NDVI,0.191142254
B4,L,C,LC,Index1,NDVI,0.202487485
B4,L,W,LW,Index1,NDVI,0.162058732
B4,C,W,CW,Index1,NDVI,0.148428136
B5,C,C,CC,Index1,NDVI,0.191713058
B5,L,C,LC,Index1,NDVI,0.171545762
B5,L,W,LW,Index1,NDVI,0.158555523
B5,C,W,CW,Index1,NDVI,0.164933559
