"ID","Plot","Treat","CBLUE","BLUE","GREEN","YELLOW","RED","REDEDGE","NIR","NDVI","CI1","CI2"
"B1_CC","B1","CC","0.0557227692307692","0.0624037333333333","0.0805398529411765","0.1113358","0.126115724137931","0.151576631578947","0.174579631578947","0.175241371067345","0.33024038381449","0.0488653043532513"
"B1_LC","B1","LC","0.0636204615384615","0.0735373333333333","0.101243088235294","0.15553785","0.179695931034483","0.215103578947368","0.244077210526316","0.16427654970954","0.385631754645367","0.0507543566814779"
"B1_LW","B1","LW","0.0633305769230769","0.0735160666666667","0.100855617647059","0.15313515","0.177116448275862","0.209865052631579","0.237239175438596","0.157831246502772","0.376338001896442","0.0483657840021597"
"B1_CW","B1","CW","0.0543188461538462","0.0617041","0.0823812647058823","0.11972165","0.135892275862069","0.167912368421053","0.197526947368421","0.197623155069964","0.368745282982726","0.0578405218230645"
"B2_CC","B2","CC","0.0574678846153846","0.0651393666666667","0.0838430294117647","0.11343055","0.128015275862069","0.161941052631579","0.189346754385965","0.20536116085056","0.346486681652477","0.064791845757092"
"B2_LC","B2","LC","0.0535408076923077","0.0621580666666667","0.0849173823529412","0.1292638","0.149429068965517","0.177992789473684","0.203096842105263","0.166564881593187","0.379878529881282","0.0496798003428119"
"B2_LW","B2","LW","0.0675114230769231","0.0779799","0.108378235294118","0.1686845","0.194997931034483","0.234192526315789","0.26627401754386","0.165430624355736","0.393549618642046","0.0537666820210957"
"B2_CW","B2","CW","0.0419693076923077","0.0477342","0.0624351470588235","0.0881066","0.10005075862069","0.120802473684211","0.140434","0.181357826215193","0.345258226811054","0.052879062521836"
"B3_CC","B3","CC","0.0523471923076923","0.0603821","0.0759365","0.09714725","0.108414724137931","0.140520315789474","0.166803280701754","0.223998294199918","0.326902228999022","0.0655318847759926"
"B3_LC","B3","LC","0.0434060769230769","0.0499189","0.0692089411764706","0.10828855","0.125737344827586","0.153240631578947","0.175929403508772","0.176760272420733","0.405901843300056","0.0560938727033184"
"B3_LW","B3","LW","0.0518487307692308","0.0593576","0.0802106176470588","0.11984185","0.137017965517241","0.164267368421053","0.187520929824561","0.166383407392758","0.371445625581678","0.0561427383382475"
"B3_CW","B3","CW","0.0558984230769231","0.0649604","0.0874884117647059","0.1279396","0.146709655172414","0.172638263157895","0.197892912280702","0.161215592458717","0.352256791149431","0.0477343022386772"
"B4_CC","B4","CC","0.0538669230769231","0.0609749333333333","0.0784393235294118","0.1062436","0.119288034482759","0.148000842105263","0.179174280701754","0.215884568047416","0.338027040814176","0.0631435787837576"
"B4_LC","B4","LC","0.0584518076923077","0.0677633666666667","0.0911472058823529","0.13268035","0.152354413793103","0.196406789473684","0.231015","0.217873834819172","0.397829737674738","0.0716421232616844"
"B4_LW","B4","LW","0.0563038076923077","0.0650870333333333","0.0889186470588235","0.1342233","0.154378586206897","0.188797157894737","0.216484421052632","0.178344017960994","0.387176053129358","0.0584067906420612"
"B4_CW","B4","CW","0.0427439230769231","0.0489947666666667","0.0637418529411765","0.0880347","0.0994984827586207","0.118077","0.134659859649123","0.160748422965893","0.320878079427534","0.0458761235055058"
"B5_CC","B5","CC","0.0468643846153846","0.0529608666666667","0.0689483235294118","0.0959795","0.108988034482759","0.136661736842105","0.161834210526316","0.208010121464957","0.357850874129944","0.0608163651309807"
"B5_LC","B5","LC","0.0659799230769231","0.0769356333333333","0.107166558823529","0.16624125","0.192661896551724","0.239604842105263","0.277838438596491","0.193768600913479","0.412318237158083","0.0650208695147579"
"B5_LW","B5","LW","0.0662580769230769","0.0774118","0.107058617647059","0.1647867","0.19100975862069","0.232886578947368","0.265830315789474","0.176098987271248","0.396878077966207","0.0563563644745323"
"B5_CW","B5","CW","0.0617028076923077","0.0714547","0.0938086176470588","0.1317684","0.149767586206897","0.184231894736842","0.211254263157895","0.18164845879407","0.350765557689313","0.0541895865907305"
