Plot,Lamp,Water,Treat,Band,Wavelength,Val
B2,C,W,CW,Band7,NIR1,0.153323729
B3,C,C,CC,Band7,NIR1,0.166810539
B3,L,C,LC,Band7,NIR1,0.17745802
B3,L,W,LW,Band7,NIR1,0.195913654
B3,C,W,CW,Band7,NIR1,0.17745802
B4,C,C,CC,Band7,NIR1,0.169649867
B4,L,C,LC,Band7,NIR1,0.210110296
B4,L,W,LW,Band7,NIR1,0.205851303
B4,C,W,CW,Band7,NIR1,0.168940035
B5,C,C,CC,Band7,NIR1,0.164681043
B5,L,C,LC,Band7,NIR1,0.188815333
B5,L,W,LW,Band7,NIR1,0.199462815
B5,C,W,CW,Band7,NIR1,0.170359699
B1,C,C,CC,Band8,NIR2,0.145709116
B1,L,C,LC,Band8,NIR2,0.151423199
B1,L,W,LW,Band8,NIR2,0.15213746
B1,C,W,CW,Band8,NIR2,0.136423731
B2,C,C,CC,Band8,NIR2,0.156423022
B2,L,C,LC,Band8,NIR2,0.17142249
B2,L,W,LW,Band8,NIR2,0.155708762
B2,C,W,CW,Band8,NIR2,0.127138347
B3,C,C,CC,Band8,NIR2,0.136423731
B3,L,C,LC,Band8,NIR2,0.162851365
B3,L,W,LW,Band8,NIR2,0.172851011
B3,C,W,CW,Band8,NIR2,0.15285172
B4,C,C,CC,Band8,NIR2,0.156423022
B4,L,C,LC,Band8,NIR2,0.182850656
B4,L,W,LW,Band8,NIR2,0.181422135
B4,C,W,CW,Band8,NIR2,0.145709116
B5,C,C,CC,Band8,NIR2,0.134995211
B5,L,C,LC,Band8,NIR2,0.147137637
B5,L,W,LW,Band8,NIR2,0.172851011
B5,C,W,CW,Band8,NIR2,0.15285172
B1,C,C,CC,Index1,NDVI,0.139862458
B1,L,C,LC,Index1,NDVI,0.266204447
B1,L,W,LW,Index1,NDVI,0.185836608
B1,C,W,CW,Index1,NDVI,0.194979675
B2,C,C,CC,Index1,NDVI,0.17721207
B2,L,C,LC,Index1,NDVI,0.165111919
B2,L,W,LW,Index1,NDVI,0.156270435
B2,C,W,CW,Index1,NDVI,0.177723653
B3,C,C,CC,Index1,NDVI,0.214987601
B3,L,C,LC,Index1,NDVI,0.166836694
B3,L,W,LW,Index1,NDVI,0.149624407
B3,C,W,CW,Index1,NDVI,0.161276161
B4,C,C,CC,Index1,NDVI,0.18266451
B4,L,C,LC,Index1,NDVI,0.162174266
B4,L,W,LW,Index1,NDVI,0.1664515
B4,C,W,CW,Index1,NDVI,0.162882786
B5,C,C,CC,Index1,NDVI,0.15927591
B5,L,C,LC,Index1,NDVI,0.177797956
B5,L,W,LW,Index1,NDVI,0.160843053
B5,C,W,CW,Index1,NDVI,0.152579559
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
