"Plot","Treat","Value"
"B1","CC","0.508851295564233"
"B1","CW","0.555814942246989"
"B1","LC","0.636648738825763"
"B1","LW","0.636491930484772"
"B2","CC","0.556792367092321"
"B2","CW","0.586870408371875"
"B2","LC","0.614994023685102"
"B2","LW","0.568110097361648"
"B3","CC","0.440211342840359"
"B3","CW","0.519217569777306"
"B3","LC","0.559259793055909"
"B3","LW","0.524710504672466"
"B4","CC","0.618989652057864"
"B4","CW","0.496951216604651"
"B4","LC","0.569892471327501"
"B4","LW","0.528225805711102"
"B5","CC","0.53882221357767"
"B5","CW","0.523236737918046"
"B5","LC","0.627240142557356"
"B5","LW","0.580367080096541"
