"Spectra","Plot","Block","Treatment","Litter","Rock","Bare","Live","Dead","Lichen","Moss","Dark","Light"
"S4","B","5","L","0.72","0","0","0.24","0.04","0","0.04","0","0.44"
"S4","B","1","LW","0.36","0","0","0.16","0.08","0.04","0","0.08","0.52"
"S4","B","2","LW","0.48","0.08","0","0.2","0","0.04","0","0","0.56"
"S4","B","3","LW","0.56","0.12","0.04","0.08","0","0","0","0","0.36"
"S4","B","4","LW","0.24","0.16","0","0.12","0","0","0","0","0.8"
"S4","B","5","LW","0.84","0","0","0","0","0","0","0","0.24"
"S4","B","1","W","0.48","0","0","0.28","0.16","0.08","0.04","0.32","0.08"
"S4","B","2","W","0.68","0","0","0.8","0.08","0.08","0.12","0.08","0.04"
"S4","B","3","W","0.24","0.12","0","0.32","0.08","0.04","0.12","0.08","0.32"
"S4","B","4","W","0.32","0.12","0","0.72","0.12","0.04","0","0.32","0.28"
"S4","B","5","W","0.88","0","0.04","0.6","0.12","0","0.2","0","0.08"
"S5","B","1","C","0.35","0","0","0.35","0.1","0.15","0.2","0.1","0.3"
"S5","B","2","C","0.95","0","0","1.55","0.2","0","0.1","0","0"
"S5","B","3","C","0.45","0.1","0","0.3","0.15","0","0.35","0","0.05"
"S5","B","4","C","0.3","0","0","0.65","0.3","0.05","0.3","0.15","0.2"
"S5","B","5","C","0.3","0","0","0.2","0.2","0.05","0.35","0.45","0"
"S5","B","1","L","0.35","0.2","0","0","0","0","0","0","0.6"
"S5","B","2","L","0.55","0.1","0","0.1","0","0","0","0","0.35"
"S5","B","3","L","0.5","0","0","0.55","0.1","0.1","0","0","0.35"
"S5","B","4","L","0.75","0.05","0","0.05","0","0","0","0","0.75"
"S5","B","5","L","0.25","0.05","0","0","0","0","0","0","0.95"
"S5","B","1","LW","0.2","0.3","0","0","0","0","0","0","0.7"
"S5","B","2","LW","0.1","0.1","0","0","0","0","0","0","0.9"
"S5","B","3","LW","0.35","0","0","0","0","0","0","0","0.75"
"S5","B","4","LW","0.95","0.1","0","0.15","0","0","0","0","0.6"
"S5","B","5","LW","0.35","0.05","0","0","0","0","0","0","0.7"
"S5","B","1","W","0.5","0","0","0.3","0.15","0","0","0.4","0.15"
"S5","B","2","W","0.85","0","0","1.1","0.15","0","0","0.05","0.05"
"S5","B","3","W","0.65","0","0","0.35","0.2","0","0","0","0.35"
"S5","B","4","W","0.4","0.35","0","0.2","0","0.05","0","0.2","0.15"
"S5","B","5","W","0.95","0","0","0.5","0.05","0","0.05","0","0.1"
"S6","B","1","C","0.52","0","0","0.2","0.04","0.16","0","0.08","0.36"
"S6","B","2","C","0.88","0","0","1.12","0.16","0","0","0","0.04"
"S6","B","3","C","0.8","0","0","0.92","0.16","0","0","0","0.04"
"S6","B","4","C","0.48","0","0","0.2","0.16","0","0.84","0.08","0"
"S6","B","5","C","0.6","0","0","0.44","0.12","0","0.4","0.12","0"
"S6","B","1","L","0.24","0.16","0","0.12","0","0","0","0","0.52"
"S6","B","2","L","0.88","0","0","0.08","0","0","0.04","0","0.08"
"S6","B","3","L","0.88","0","0","0.64","0.12","0","0.04","0.04","0.04"
"S6","B","4","L","0.88","0","0","0.4","0","0.04","0","0","0.48"
"S6","B","5","L","0.32","0.16","0","0","0","0.04","0.12","0","0.68"
"S6","B","1","LW","0.16","0.04","0","0.16","0.04","0","0","0","0.84"
"S6","B","2","LW","0.32","0.12","0","0.08","0","0","0","0","0.72"
"S6","B","3","LW","0.88","0.04","0","0","0","0","0","0","0.2"
"S6","B","4","LW","0.88","0.04","0","0.44","0","0","0","0.04","0.28"
"S6","B","5","LW","0.44","0.08","0.04","0.08","0","0","0","0","0.6"
"S6","B","1","W","0.68","0","0","0.32","0.24","0.04","0","0.44","0.16"
"S6","B","2","W","0.96","0","0","0.36","0.04","0","0","0.04","0"
"S6","B","3","W","0.52","0.04","0","0.6","0.36","0","0","0","0.28"
"S6","B","4","W","0.84","0.28","0","1.2","0.04","0","0","0","0"
"S6","B","5","W","0.84","0","0","1.4","0.24","0","0.04","0","0.08"
"S7","B","1","C","0.4","0","0","0.44","0.08","0.16","0.08","0.08","0.36"
"S7","B","2","C","0.6","0","0","0.6","0.12","0.12","0.04","0","0.28"
"S7","B","3","C","0.64","0","0","0.36","0.24","0.12","0.24","0.04","0.04"
"S7","B","4","C","0.68","0","0","0.48","0.2","0","0.52","0.12","0"
"S7","B","5","C","0.72","0","0","0.24","0.12","0.04","0.04","0","0.12"
"S7","B","1","L","0.24","0.04","0.08","0.2","0","0.04","0","0","0.64"
"S7","B","2","L","0.28","0.36","0","0.08","0","0","0","0.08","0.28"
"S7","B","3","L","0.04","0.08","0","0.08","0","0.04","0.04","0.16","0.64"
"S7","B","4","L","0.56","0.12","0","0.96","0.12","0.04","0.16","0.08","0.2"
"S7","B","5","L","0.8","0","0","0.24","0","0","0.08","0.04","0.28"
"S7","B","1","LW","0.24","0.04","0","0.12","0.04","0","0","0.04","0.72"
"S7","B","2","LW","0.4","0.12","0","0.36","0","0","0","0.04","0.52"
"S7","B","3","LW","0.92","0","0","0.64","0","0","0","0","0.08"
"S7","B","4","LW","0.56","0.08","0.08","0.2","0","0","0","0","0.6"
"S7","B","5","LW","0.8","0.04","0","0.04","0","0","0","0","0.28"
"S7","B","1","W","0.64","0","0","0.76","0.08","0","0","0.2","0.24"
"S7","B","2","W","0.72","0","0","0.68","0.2","0","0","0","0.2"
"S7","B","3","W","0.68","0.12","0","0.28","0.12","0","0.04","0.04","0.12"
"S7","B","4","W","0.44","0.28","0","0.24","0.08","0.04","0","0.16","0.12"
"S7","B","5","W","0.68","0.04","0.04","0.36","0.12","0.04","0.04","0.08","0.24"
"S8","B","1","C","0.35","0","0","0.15","0","0.2","0.2","0.05","0.2"
"S8","B","2","C","0.8","0","0","1.65","0.1","0","0.15","0","0"
"S8","B","3","C","0.2","0","0","0.2","0.2","0","0.6","0.05","0.1"
"S8","B","4","C","0.35","0","0","0.35","0.15","0","0.3","0.35","0.1"
"S8","B","5","C","0.6","0","0","0.1","0.1","0","0.2","0.35","0.05"
"S8","B","1","L","0.4","0.1","0","0.1","0","0","0","0","0.55"
"S8","B","2","L","0.85","0.05","0","0","0","0","0","0","0.1"
"S8","B","3","L","0.1","0.15","0","0","0","0.05","0.05","0","0.65"
"S8","B","4","L","0.8","0.05","0","0.1","0","0","0.05","0","0.7"
"S8","B","5","L","0.45","0","0","0.1","0","0","0","0","0.85"
"S8","B","1","LW","0.15","0.05","0","0","0","0","0","0","0.85"
"S8","B","2","LW","0.3","0.35","0","0","0","0","0","0","0.6"
"S8","B","3","LW","0.75","0","0","0","0","0","0","0","0.3"
"S8","B","4","LW","0.8","0","0.05","0","0","0","0","0","0.75"
"S8","B","5","LW","0.55","0.35","0","0.05","0","0","0","0","0.2"
"S8","B","1","W","0.6","0","0","1.6","0.6","0","0","0.15","0"
"S8","B","2","W","0.9","0","0","0.8","0.1","0","0","0","0.05"
"S8","B","3","W","0.8","0","0","0.9","0.4","0","0","0","0.05"
"S8","B","4","W","0.45","0.05","0","0.25","0","0.15","0","0.3","0.3"
"S8","B","5","W","0.9","0","0","0.45","0.05","0","0.05","0","0.05"
"S9","B","1","C","0.72","0","0","0.68","0.16","0.12","0","0","0.32"
"S9","B","2","C","0.84","0","0","1.6","0.56","0","0","0","0"
"S9","B","3","C","0.76","0","0","0.56","0.2","0.08","0.12","0.04","0.04"
"S9","B","4","C","0.48","0.04","0","0.44","0.24","0.08","0.36","0.04","0.08"
"S9","B","5","C","0.52","0","0","0.24","0.12","0.08","0.2","0.16","0"
"S9","B","1","L","0.36","0","0","0.12","0.04","0","0.04","0","0.6"
"S9","B","2","L","0.68","0.04","0","0.04","0","0","0","0.04","0.28"
"S9","B","3","L","0.6","0","0","0.08","0.04","0.04","0.04","0.16","0.24"
"S9","B","4","L","0.76","0.16","0","0.08","0","0","0","0","0.52"
"S9","B","5","L","0.44","0","0","0.04","0","0.04","0.12","0","0.8"
