"timestamp","year","month","day","hour","min","sec","site","block","tx","type","depth","rep","temp","sm.corr","location","cover"
2022-02-13 12:00:00,"2022",2,13,12,0,0,"B","3","L","MOPRO","0","1",21.48833333,0.0002391,"interspace","lc"
2022-02-13 12:00:00,"2022",2,13,12,0,0,"B","3","LW","MOPRO","0","1",21.08166667,0,"interspace","lc"
2022-02-13 12:00:00,"2022",2,13,12,0,0,"B","3","W","MOPRO","0","1",10.72966667,0,"interspace","dc"
2022-02-13 12:00:00,"2022",2,13,12,0,0,"B","4","C","MOPRO","0","1",14.42333333,0.0002391,"interspace","moss"
2022-02-13 12:00:00,"2022",2,13,12,0,0,"B","4","L","MOPRO","0","1",17.895,9.564e-05,"interspace","lc"
2022-02-13 12:00:00,"2022",2,13,12,0,0,"B","4","W","MOPRO","0","1",7.206833333,0.00027629332802,"interspace","dc"
2022-02-13 12:00:00,"2022",2,13,12,0,0,"B","5","C","MOPRO","0","1",20.23833333,0.0002391,"interspace","moss"
2022-02-13 12:00:00,"2022",2,13,12,0,0,"B","5","L","MOPRO","0","1",20.95666667,0.00027629332802,"interspace","lc"
2022-02-13 12:00:00,"2022",2,13,12,0,0,"B","5","LW","MOPRO","0","1",6.705,0.00027363667198,"interspace","lc"
2022-02-13 12:00:00,"2022",2,13,12,0,0,"B","5","W","MOPRO","0","1",13.13166667,0.00034802332802,"interspace","moss"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","1","C","MOPRO","0","1",17.25166667,0.00030817332802,"interspace","lc"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","1","LW","MOPRO","0","1",27.64166667,0.00037990332802,"interspace","lc"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","1","W","MOPRO","0","1",8.774666667,0.00037990332802,"interspace","dc"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","2","C","MOPRO","0","1",20.32166667,0.00037990332802,"interspace","moss"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","2","L","MOPRO","0","1",23.99166667,0.00030551667198,"interspace","lc"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","2","LW","MOPRO","0","1",26.475,0.00041709667198,"interspace","lc"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","2","W","MOPRO","0","1",19.07833333,0.00037990332802,"interspace","moss"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","3","C","MOPRO","0","1",23.27833333,0,"interspace","moss"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","3","L","MOPRO","0","1",26.52333333,0,"interspace","lc"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","3","LW","MOPRO","0","1",26.34333333,0.00037990332802,"interspace","lc"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","3","W","MOPRO","0","1",17.81666667,0.00037990332802,"interspace","dc"
2022-02-13 13:00:00,"2022",2,13,13,0,0,"B","4","C","MOPRO","0","1",21.835,0,"interspace","moss"
