Dir,Plot,Tmp,Wtr,Treat,Rep,Loc,File
Plot_1meter,B1,C,C,CC,2,9,205
Plot_1meter,B1,C,C,CC,3,9,206
Plot_1meter,B1,C,C,CC,1,10,207
Plot_1meter,B1,C,C,CC,2,10,208
Plot_1meter,B1,C,C,CC,3,10,209
Plot_1meter,B1,C,C,CC,1,11,210
Plot_1meter,B1,C,C,CC,2,11,211
Plot_1meter,B1,C,C,CC,3,11,212
Plot_1meter,B1,C,C,CC,1,12,213
Plot_1meter,B1,C,C,CC,2,12,214
Plot_1meter,B1,C,C,CC,3,12,215
Plot_1meter,B1,C,C,CC,1,13,216
Plot_1meter,B1,C,C,CC,2,13,217
Plot_1meter,B1,C,C,CC,3,13,218
Plot_1meter,B1,C,C,CC,1,14,219
Plot_1meter,B1,C,C,CC,2,14,220
Plot_1meter,B1,C,C,CC,3,14,221
Plot_1meter,B1,C,C,CC,1,15,222
Plot_1meter,B1,C,C,CC,2,15,223
Plot_1meter,B1,C,C,CC,3,15,224
Plot_1meter,B1,C,W,CW,1,1,270
Plot_1meter,B1,C,W,CW,2,1,271
Plot_1meter,B1,C,W,CW,3,1,272
Plot_1meter,B1,C,W,CW,1,2,273
Plot_1meter,B1,C,W,CW,2,2,274
Plot_1meter,B1,C,W,CW,3,2,275
Plot_1meter,B1,C,W,CW,1,3,276
Plot_1meter,B1,C,W,CW,2,3,277
Plot_1meter,B1,C,W,CW,3,3,278
Plot_1meter,B1,C,W,CW,1,4,279
Plot_1meter,B1,C,W,CW,2,4,280
Plot_1meter,B1,C,W,CW,3,4,281
Plot_1meter,B1,C,W,CW,1,5,282
Plot_1meter,B1,C,W,CW,2,5,283
Plot_1meter,B1,C,W,CW,3,5,284
Plot_1meter,B1,C,W,CW,1,6,285
Plot_1meter,B1,C,W,CW,2,6,286
Plot_1meter,B1,C,W,CW,3,6,287
Plot_1meter,B1,C,W,CW,1,7,289
Plot_1meter,B1,C,W,CW,2,7,290
Plot_1meter,B1,C,W,CW,3,7,291
Plot_1meter,B1,C,W,CW,1,8,292
Plot_1meter,B1,C,W,CW,2,8,293
Plot_1meter,B1,C,W,CW,3,8,294
Plot_1meter,B1,C,W,CW,1,9,295
Plot_1meter,B1,C,W,CW,2,9,296
Plot_1meter,B1,C,W,CW,3,9,297
Plot_1meter,B1,C,W,CW,1,10,298
Plot_1meter,B1,C,W,CW,2,10,299
Plot_1meter,B1,C,W,CW,3,10,300
Plot_1meter,B1,C,W,CW,1,11,301
Plot_1meter,B1,C,W,CW,2,11,302
Plot_1meter,B1,C,W,CW,3,11,303
Plot_1meter,B1,C,W,CW,1,12,304
Plot_1meter,B1,C,W,CW,2,12,305
Plot_1meter,B1,C,W,CW,3,12,306
Plot_1meter,B1,C,W,CW,1,13,307
Plot_1meter,B1,C,W,CW,2,13,308
Plot_1meter,B1,C,W,CW,3,13,309
Plot_1meter,B1,C,W,CW,1,14,310
Plot_1meter,B1,C,W,CW,2,14,311
Plot_1meter,B1,C,W,CW,3,14,312
Plot_1meter,B1,C,W,CW,1,15,313
Plot_1meter,B1,C,W,CW,2,15,314
Plot_1meter,B1,C,W,CW,3,15,315
Plot_1meter,B2,C,C,CC,1,1,360
Plot_1meter,B2,C,C,CC,2,1,361
Plot_1meter,B2,C,C,CC,3,1,362
Plot_1meter,B2,C,C,CC,1,2,363
Plot_1meter,B2,C,C,CC,2,2,364
Plot_1meter,B2,C,C,CC,3,2,365
Plot_1meter,B2,C,C,CC,1,3,366
Plot_1meter,B2,C,C,CC,2,3,367
Plot_1meter,B2,C,C,CC,3,3,368
Plot_1meter,B2,C,C,CC,1,4,369
Plot_1meter,B2,C,C,CC,2,4,370
Plot_1meter,B2,C,C,CC,3,4,371
Plot_1meter,B2,C,C,CC,1,5,372
Plot_1meter,B2,C,C,CC,2,5,373
Plot_1meter,B2,C,C,CC,3,5,374
Plot_1meter,B2,C,C,CC,1,6,375
Plot_1meter,B2,C,C,CC,2,6,376
Plot_1meter,B2,C,C,CC,3,6,377
Plot_1meter,B2,C,C,CC,1,7,378
Plot_1meter,B2,C,C,CC,2,7,379
Plot_1meter,B2,C,C,CC,3,7,380
Plot_1meter,B2,C,C,CC,1,8,381
Plot_1meter,B2,C,C,CC,2,8,382
Plot_1meter,B2,C,C,CC,3,8,383
Plot_1meter,B2,C,C,CC,1,9,384
Plot_1meter,B2,C,C,CC,2,9,385
Plot_1meter,B2,C,C,CC,3,9,386
Plot_1meter,B2,C,C,CC,1,10,387
Plot_1meter,B2,C,C,CC,2,10,388
Plot_1meter,B2,C,C,CC,3,10,389
Plot_1meter,B2,C,C,CC,1,11,390
Plot_1meter,B2,C,C,CC,2,11,391
Plot_1meter,B2,C,C,CC,3,11,392
Plot_1meter,B2,C,C,CC,1,12,393
Plot_1meter,B2,C,C,CC,2,12,394
Plot_1meter,B2,C,C,CC,3,12,395
Plot_1meter,B2,C,C,CC,1,13,396
Plot_1meter,B2,C,C,CC,2,13,397
Plot_1meter,B2,C,C,CC,3,13,398
