Dir,Plot,Tmp,Wtr,Treat,Quad,Biocrust,Rep,File
Contact_021522,B2,C,W,CW,Q3,LCN,1,82
Contact_021522,B2,C,W,CW,Q3,LCN,2,83
Contact_021522,B2,C,W,CW,Q3,LCN,3,84
Contact_021522,B2,C,W,CW,Q3,MSS,1,85
Contact_021522,B2,C,W,CW,Q3,MSS,2,86
Contact_021522,B2,C,W,CW,Q3,MSS,3,87
Contact_021522,B2,C,W,CW,Q3,LTR,1,88
Contact_021522,B2,C,W,CW,Q3,LTR,2,89
Contact_021522,B2,C,W,CW,Q3,LTR,3,90
Contact_021522,B3,L,C,LC,Q3,LCY,1,91
Contact_021522,B3,L,C,LC,Q3,LCY,2,92
Contact_021522,B3,L,C,LC,Q3,LCY,3,93
Contact_021522,B3,L,C,LC,Q3,DCY,1,94
Contact_021522,B3,L,C,LC,Q3,DCY,2,95
Contact_021522,B3,L,C,LC,Q3,DCY,3,96
Contact_021522,B3,L,C,LC,Q3,LCN,1,97
Contact_021522,B3,L,C,LC,Q3,LCN,2,98
Contact_021522,B3,L,C,LC,Q3,LCN,3,99
Contact_021522,B3,L,C,LC,Q3,MSS,1,100
Contact_021522,B3,L,C,LC,Q3,MSS,2,101
Contact_021522,B3,L,C,LC,Q3,MSS,3,102
Contact_021522,B3,C,W,CW,Q4,LCY,1,103
Contact_021522,B3,C,W,CW,Q4,LCY,2,104
Contact_021522,B3,C,W,CW,Q4,LCY,3,105
Contact_021522,B3,C,W,CW,Q4,DCY,1,106
Contact_021522,B3,C,W,CW,Q4,DCY,2,107
Contact_021522,B3,C,W,CW,Q4,DCY,3,108
Contact_021522,B3,C,W,CW,Q4,LCN,1,109
Contact_021522,B3,C,W,CW,Q4,LCN,2,110
Contact_021522,B3,C,W,CW,Q4,LCN,3,111
Contact_021522,B3,C,W,CW,Q4,MSS,1,112
Contact_021522,B3,C,W,CW,Q4,MSS,2,113
Contact_021522,B3,C,W,CW,Q4,MSS,3,114
Contact_021522,B3,L,W,LW,Q3,LCY,1,115
Contact_021522,B3,L,W,LW,Q3,LCY,2,116
Contact_021522,B3,L,W,LW,Q3,LCY,3,117
Contact_021522,B3,L,W,LW,Q3,DCY,1,118
Contact_021522,B3,L,W,LW,Q3,DCY,2,119
Contact_021522,B3,L,W,LW,Q3,DCY,3,120
Contact_021522,B3,L,W,LW,Q3,LCN,1,121
Contact_021522,B3,L,W,LW,Q3,LCN,2,122
Contact_021522,B3,L,W,LW,Q3,LCN,3,123
Contact_021522,B3,L,W,LW,Q3,MSS,1,124
Contact_021522,B3,L,W,LW,Q3,MSS,2,125
Contact_021522,B3,L,W,LW,Q3,MSS,3,126
Contact_021522,B3,C,C,CC,Q3,LCY,1,127
Contact_021522,B3,C,C,CC,Q3,LCY,2,128
Contact_021522,B3,C,C,CC,Q3,LCY,3,129
Contact_021522,B3,C,C,CC,Q3,DCY,1,130
Contact_021522,B3,C,C,CC,Q3,DCY,2,131
Contact_021522,B3,C,C,CC,Q3,DCY,3,132
Contact_021522,B3,C,C,CC,Q3,LCN,1,133
Contact_021522,B3,C,C,CC,Q3,LCN,2,134
Contact_021522,B3,C,C,CC,Q3,LCN,3,135
Contact_021522,B3,C,C,CC,Q3,MSS,1,136
Contact_021522,B3,C,C,CC,Q3,MSS,2,137
Contact_021522,B3,C,C,CC,Q3,MSS,3,138
Contact_021522,B4,C,C,CC,Q3,LTR,1,139
Contact_021522,B5,C,C,CC,Q3,LTR,2,140
Contact_021522,B6,C,C,CC,Q3,LTR,3,141
